name,brand,category,color,price,price_old,RAM,ROM,percent,rating,sold
Acer Aspire Lite 15 AL15 71P 517D i5 12450H (NX.J7KSV.001),Acer,Laptop,Bạc,14490000.0,14490000.0,RAM 16 GB,SSD 512 GB,0,5,9
Lenovo LOQ 15IRX9 i5 13450HX (83DV003CVN),Lenovo,Laptop,Xám,22690000.0,22690000.0,RAM 16 GB,SSD 512 GB,0,5,29
HP Pavilion 15 eg2088TU i7 1260P (7C0R0PA),HP,Laptop,Vàng,21690000,21690000,RAM 16 GB,SSD 512 GB,0,4.9,1700
HP Pavilion 15 eg2081TU i5 1240P (7C0Q4PA),HP,Laptop,Vàng,18190000.0,18190000.0,RAM 16 GB,SSD 512 GB,0,4.9,4600
MSI Gaming GF63 Thin 12VE i5 12450H (460VN),MSI,Laptop,Đen,18690000.0,18690000.0,RAM 8 GB,SSD 512 GB,0,4.9,986
Lenovo Gaming LOQ 15ARP9 R7 7435HS (83JC0040VN),Lenovo,Laptop,Xám,26690000.0,26690000.0,RAM 24 GB,SSD 512 GB,0,5,956
Asus TUF Gaming F15 FX507VU i7 13620H (LP186W),Asus,Laptop,Xám,27190000.0,27190000.0,RAM 16 GB,SSD 512 GB,0,5,371
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),Acer,Laptop,Bạc,14690000.0,14690000.0,RAM 16 GB,SSD 512 GB,0,4.9,3100
MacBook Air 13 inch M2 10GPU,MacBook,Laptop,Bạc,23090000.0,23090000.0,RAM 16 GB,SSD 256 GB,0,5,750
Asus Vivobook 15 OLED A1505VA i9 13900H (MA586WS),Asus,Laptop,Bạc,23190000.0,23190000.0,RAM 16 GB,SSD 512 GB,0,5,332
Dell Latitude 3440 i5 1235U (L3440-I51235U-16G512G),Dell,Laptop,Đen,16490000.0,16490000.0,RAM 16 GB,SSD 512 GB,0,4.9,2100
HP Pavilion 15 eg2082TU i5 1240P (7C0Q5PA),HP,Laptop,Vàng,16990000.0,16990000.0,RAM 8 GB,SSD 512 GB,0,4.9,3400
HP Elitebook 630 G11 Ultra 7 155U (A7LC5PT),HP,Laptop,Bạc,26190000.0,26190000.0,RAM 16 GB,SSD 512 GB,0,5,53
MSI Gaming Stealth 14 AI Studio A1VFG Ultra 7 155H (085VN),MSI,Laptop,Xanh,50690000.0,50690000.0,RAM 32 GB,SSD 1 TB,0,5,19
Dell Inspiron 15 3520 i5 1235U (71064798),Dell,Laptop,Bạc,16490000.0,16490000.0,RAM 16 GB,SSD 512 GB,0,0,2
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),Lenovo,Laptop,Xám,14690000.0,14690000.0,RAM 16 GB,SSD 512 GB,0,4.9,8100
Asus TUF Gaming A15 FA506NCR R7 7435HS (HN097W),Asus,Laptop,Đen,20190000,20190000,RAM 16 GB,SSD 512 GB,0,4.9,444
Acer Aspire 3 A315 59 5283 i5 1235U (NX.K6TSV.00B),Acer,Laptop,Bạc,12490000.0,12490000.0,RAM 8 GB,SSD 512 GB,0,4.9,2500
Asus Vivobook 15 X1504ZA i5 1235U (NJ1546W),Asus,Laptop,Xanh Dương,14690000.0,14690000.0,RAM 16 GB,SSD 512 GB,0,4.9,1500
MSI Gaming Katana 15 B13VFK i7 13620H (676VN),MSI,Laptop,Đen,28090000.0,28090000.0,RAM 16 GB,SSD 1 TB,0,4.9,524
HP Elitebook 630 G10 i5 1335U (9J0B4PT),HP,Laptop,Bạc,21190000.0,21190000.0,RAM 16 GB,SSD 512 GB,0,5,335
GIGABYTE G5 MF5 RC555 i7 13620H (9RC55MF5FJIINIVN000),GIGABYTE,Laptop,Đen,23690000.0,23690000.0,RAM 16 GB,SSD 512 GB,0,5,44
HP 245 G10 R5 7530U (B8PF9AT),HP,Laptop,Bạc,12690000.0,12690000.0,RAM 8 GB,SSD 512 GB,0,0,0
MSI Katana 15 B13VEK i5 13420H (2416VN),MSI,Laptop,Đen,25690000.0,25690000.0,RAM 16 GB,SSD 512 GB,0,0,0
Dell Latitude 3450 i5 1335U (L3450-1335U-16512W),Dell,Laptop,Đen,18590000.0,18590000.0,RAM 16 GB,SSD 512 GB,0,5,44
Asus Gaming Vivobook K3605ZU i5 12500H (RP296W),Asus,Laptop,Đen,22190000.0,22190000.0,RAM 16 GB,SSD 512 GB,0,5,388
Lenovo LOQ 15IRX9 i5 13450HX (83DV00PSVN),Lenovo,Laptop,Xám,23690000.0,23690000.0,RAM 24 GB,SSD 512 GB,0,5,24
Asus Zenbook 14 OLED UX3405MA Ultra 7 155H (PP152W),Asus,Laptop,Xanh Dương,31690000.0,31690000.0,RAM 32 GB,SSD 1 TB,0,5,539
Acer Aspire 16 AI A16 71M 59L5 Ultra 5 125H (NX.J4YSV.001),Acer,Laptop,Xám,18690000.0,18690000.0,RAM 16 GB,SSD 512 GB,0,5,123
Acer Aspire 5 A514 56P 54TN i5 1335U (NX.KHRSV.004),Acer,Laptop,Xám,13990000.0,13990000.0,RAM 8 GB,SSD 512 GB,0,5,374
HP 240 G9 i3 1215U (6L1X8PA),HP,Laptop,Bạc,10990000.0,10990000.0,RAM 8 GB,SSD 512 GB,0,5,548
HP Gaming VICTUS 16 s0173AX R5 7640HS (A9LG9PA),HP,Laptop,Đen,21190000.0,21190000.0,RAM 16 GB,SSD 512 GB,0,5,194
Acer Gaming Nitro V ANV15 51 55CA i5 13420H (NH.QN8SV.004),Acer,Laptop,Đen,24690000.0,24690000.0,RAM 16 GB,SSD 512 GB,0,5,370
Acer Aspire Lite 15 AL15 41P R3QL R7 5700U (NX.J54SV.001),Acer,Laptop,Bạc,12490000.0,12490000.0,RAM 8 GB,SSD 512 GB,0,0,2
MSI Gaming Bravo 15 B7ED R5 7535HS (010VN),MSI,Laptop,Đen,17190000.0,17190000.0,RAM 16 GB,SSD 512 GB,0,4.9,1500
Dell Inspiron 14 5440 i5 1334U (NDY5V1),Dell,Laptop,Xanh Dương,20490000.0,20490000.0,RAM 16 GB,SSD 512 GB,0,5,171
Lenovo Ideapad Slim 3 OLED 14IRH10 i5 13420H (83K0000CVN),Lenovo,Laptop,Xám,19990000.0,19990000.0,RAM 24 GB,SSD 512 GB,0,5,3
Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK0079VN),Lenovo,Laptop,Xám,20690000.0,20690000.0,RAM 16 GB,SSD 512 GB,0,5,69
Dell Inspiron 15 3520 i5 1235U (N3520-i5U165W11SLU-BL),Dell,Laptop,Bạc,16490000.0,16490000.0,RAM 16 GB,SSD 512 GB,0,0,0
Acer Swift Go 14 41 R251 R5 7430U (NX.KG3SV.005),Acer,Laptop,Bạc,18690000.0,18690000.0,RAM 16 GB,SSD 1 TB,0,5,563
Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX (NH.QLUSV.005),Acer,Laptop,Đen,27690000.0,27690000.0,RAM 16 GB,SSD 512 GB,0,4.9,821
Asus TUF Gaming F15 FX507ZC4 i7 12700H (HN181W),Asus,Laptop,Xám,23190000.0,23190000.0,RAM 16 GB,SSD 512 GB,0,5,1200
Asus TUF Gaming F15 FX507VV i7 13620H (LP151W),Asus,Laptop,Xám,29490000.0,29490000.0,RAM 16 GB,SSD 512 GB,0,5,476
